MANHEIM,2005,4,DODGE,RED,AUTO,Special,'+AFw-'(54392.4+AC0-63615+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(+AC0-inf+AC0-5921.3+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2004,5,FORD,GREY,AUTO,Special,'+AFw-'(82060.2+AC0-91282.8+AF0AXA-'',AMERICAN,'MEDIUM SUV','+AFw-'(+AC0-inf+AC0-5921.3+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
MANHEIM,2007,2,FORD,SILVER,AUTO,Alloy,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,LARGE,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2006,4,CHEVROLET,SILVER,AUTO,Covers,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2003,6,DODGE,BLACK,AUTO,Alloy,'+AFw-'(54392.4+AC0-63615+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(+AC0-inf+AC0-5921.3+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2003,7,DODGE,GREY,AUTO,Alloy,'+AFw-'(82060.2+AC0-91282.8+AF0AXA-'',AMERICAN,'SMALL TRUCK','+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2005,5,DODGE,BLUE,AUTO,Alloy,'+AFw-'(63615+AC0-72837.6+AF0AXA-'',AMERICAN,VAN,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2005,5,FORD,GREY,AUTO,Alloy,'+AFw-'(91282.8+AC0-100505.4+AF0AXA-'',AMERICAN,'LARGE SUV','+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
MANHEIM,2005,5,CHEVROLET,WHITE,AUTO,Covers,'+AFw-'(91282.8+AC0-100505.4+AF0AXA-'',AMERICAN,'MEDIUM SUV','+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2004,6,NISSAN,GREY,AUTO,Alloy,'+AFw-'(63615+AC0-72837.6+AF0AXA-'','TOP LINE ASIAN',LARGE,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
MANHEIM,2002,7,CHEVROLET,WHITE,AUTO,Covers,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,'LARGE TRUCK','+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
MANHEIM,2006,4,FORD,OTHER,AUTO,Covers,'+AFw-'(82060.2+AC0-91282.8+AF0AXA-'',AMERICAN,MEDIUM,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
MANHEIM,2003,7,FORD,GREY,AUTO,Alloy,'+AFw-'(91282.8+AC0-100505.4+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
OTHER,2008,2,DODGE,WHITE,AUTO,Covers,'+AFw-'(45169.8+AC0-54392.4+AF0AXA-'',AMERICAN,MEDIUM,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
OTHER,2008,2,CHEVROLET,BLACK,AUTO,Covers,'+AFw-'(54392.4+AC0-63615+AF0AXA-'',AMERICAN,LARGE,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2007,3,KIA,SILVER,AUTO,Covers,'+AFw-'(26724.6+AC0-35947.2+AF0AXA-'','OTHER ASIAN',COMPACT,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2007,3,CHEVROLET,WHITE,AUTO,Covers,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,LARGE,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2007,3,CHEVROLET,BLUE,AUTO,Covers,'+AFw-'(35947.2+AC0-45169.8+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2008,2,CHEVROLET,GREY,AUTO,Covers,'+AFw-'(35947.2+AC0-45169.8+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2001,8,DODGE,BLUE,AUTO,Covers,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(+AC0-inf+AC0-5921.3+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
ADESA,2002,8,CHEVROLET,SILVER,AUTO,Alloy,'+AFw-'(82060.2+AC0-91282.8+AF0AXA-'',AMERICAN,'SMALL SUV','+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
ADESA,2003,6,FORD,GREY,AUTO,Alloy,'+AFw-'(82060.2+AC0-91282.8+AF0AXA-'',AMERICAN,'LARGE SUV','+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1551.2+AC0-2095.8+AF0AXA-'',2
MANHEIM,2004,6,FORD,GREEN,AUTO,Alloy,'+AFw-'(54392.4+AC0-63615+AF0AXA-'',AMERICAN,'SMALL SUV','+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
OTHER,2005,5,DODGE,SILVER,AUTO,Covers,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(5921.3+AC0-9605.6+AF0AXA-'','+AFw-'(+AC0-inf+AC0-1006.6+AF0AXA-'',2
MANHEIM,2002,8,FORD,WHITE,AUTO,Covers,'+AFw-'(63615+AC0-72837.6+AF0AXA-'',AMERICAN,COMPACT,'+AFw-'(+AC0-inf+AC0-5921.3+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
OTHER,2005,5,CHEVROLET,BEIGE,AUTO,Alloy,'+AFw-'(72837.6+AC0-82060.2+AF0AXA-'',AMERICAN,'MEDIUM SUV','+AFw-'(9605.6+AC0-13289.9+AF0AXA-'','+AFw-'(1006.6+AC0-1551.2+AF0AXA-'',2
